Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
6300000.0,Вторичка, Опалиха,6.0,Московская Область,1.0,30.6,11.1,8.5,25.0,25,Косметический
9000000.0,Вторичка, Павшино,2.0,Московская Область,1.0,49.2,20.0,10.0,6.0,15,В Европейском Стиле
11090000.0,Вторичка, Мякинино,14.0,Московская Область,1.0,44.7,16.2,13.1,10.0,25,Косметический
8300000.0,Вторичка, Строгино,8.0,Московская Область,1.0,35.1,16.0,11.0,12.0,33,В Европейском Стиле
6450000.0,Вторичка, Опалиха,6.0,Московская Область,1.0,37.7,15.2,4.0,5.0,5,Без Ремонта
7150000.0,Вторичка, Опалиха,6.0,Московская Область,1.0,38.4,18.0,8.0,8.0,18,В Европейском Стиле
7400000.0,Вторичка, Нахабино,11.0,Московская Область,1.0,33.0,16.0,8.0,7.0,7,В Европейском Стиле
7500000.0,Вторичка, Строгино,27.0,Московская Область,1.0,25.0,14.8,8.7,16.0,34,В Европейском Стиле
7800000.0,Вторичка, Красногорская,6.0,Московская Область,1.0,41.8,18.0,10.0,6.0,17,Косметический
7999999.0,Вторичка, Тушинская,35.0,Московская Область,1.0,44.0,19.0,11.0,11.0,24,Дизайнерский
9000000.0,Вторичка, Аникеевка,17.0,Московская Область,1.0,44.8,15.0,10.3,5.0,6,В Европейском Стиле
12300000.0,Вторичка, Волоколамская,16.0,Московская Область,1.0,39.0,21.9,9.9,26.0,30,Дизайнерский
14000000.0,Вторичка, Волоколамская,12.0,Московская Область,1.0,48.0,23.0,9.0,12.0,28,Дизайнерский
6000000.0,Вторичка, Павшино,3.0,Московская Область,1.0,33.8,17.0,7.0,4.0,9,Без Ремонта
6200000.0,Вторичка, Красногорская,19.0,Московская Область,1.0,32.7,18.0,6.0,9.0,9,В Европейском Стиле
6300000.0,Вторичка, Красногорская,19.0,Московская Область,1.0,32.1,18.4,9.3,2.0,9,Без Ремонта
6500000.0,Вторичка, Опалиха,7.0,Московская Область,1.0,34.9,17.0,9.0,2.0,14,Косметический
6800000.0,Вторичка, Опалиха,7.0,Московская Область,1.0,38.0,17.4,9.0,8.0,14,В Европейском Стиле
7350000.0,Вторичка, Опалиха,6.0,Московская Область,1.0,40.0,16.1,9.8,17.0,24,В Европейском Стиле
8100000.0,Вторичка, Красногорская,6.0,Московская Область,1.0,47.6,26.0,12.0,8.0,11,Косметический
8200000.0,Вторичка, Опалиха,12.0,Московская Область,1.0,32.5,18.6,9.3,1.0,8,Дизайнерский
8600000.0,Вторичка, Строгино,8.0,Московская Область,1.0,36.5,13.0,15.0,23.0,33,Дизайнерский
9200000.0,Вторичка, Опалиха,5.0,Московская Область,1.0,33.75,16.5,8.6,3.0,8,Дизайнерский
9300000.0,Вторичка, Волоколамская,15.0,Московская Область,1.0,39.1,18.0,11.0,17.0,29,Без Ремонта
10099000.0,Вторичка, Мякинино,16.0,Московская Область,1.0,38.0,21.3,9.8,6.0,19,Дизайнерский
11000000.0,Вторичка, Строгино,11.0,Московская Область,1.0,50.8,23.2,11.6,14.0,22,Косметический
14000000.0,Вторичка, Мякинино,16.0,Московская Область,1.0,38.1,21.4,9.8,5.0,19,Дизайнерский
7800000.0,Вторичка, Опалиха,6.0,Московская Область,1.0,39.5,16.6,12.0,20.0,26,В Европейском Стиле
7750000.0,Вторичка, Опалиха,7.0,Московская Область,1.0,39.5,14.0,14.1,2.0,26,В Европейском Стиле
8300000.0,Вторичка, Опалиха,5.0,Московская Область,1.0,44.0,18.0,11.6,10.0,25,Косметический
8500000.0,Вторичка, Пенягино,16.0,Московская Область,1.0,32.1,9.0,18.0,23.0,45,В Европейском Стиле
9400000.0,Вторичка, Пенягино,9.0,Московская Область,1.0,42.0,9.0,10.1,4.0,23,Косметический
9500000.0,Вторичка, Мякинино,20.0,Московская Область,1.0,37.7,18.9,7.4,8.0,17,Без Ремонта
9600000.0,Вторичка, Мякинино,20.0,Московская Область,1.0,38.6,21.6,9.8,16.0,17,Косметический
9700000.0,Вторичка, Митино,7.0,Московская Область,1.0,42.3,23.5,10.1,7.0,17,В Европейском Стиле
10300000.0,Вторичка, Строгино,8.0,Московская Область,1.0,38.6,17.0,12.0,16.0,32,В Европейском Стиле
11000000.0,Вторичка, Мякинино,15.0,Московская Область,1.0,43.0,19.6,5.0,3.0,17,В Европейском Стиле
11680000.0,Вторичка, Пенягино,16.0,Московская Область,1.0,36.5,20.6,9.7,5.0,45,Дизайнерский
